LoanId,OrderId,PortfolioId,NoteId,PortfolioName,Invested,InterestRate,Grade,LoanType,Term,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Note Issue Date,OrderDate,LoanStatusDate,Pending Principal Payment,Pending Interest,Purchased,installment,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,Loan Issue Date,1st Month Payment,application_type,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,PURCHASE_PRINCIPAL,PURCHASE_INTEREST,PRINCIPAL_RECEIVED,INTEREST_RECEIVED,LATE_FEES_RECEIVED,ORIGINAL_ASSET_AMOUNT,ORIGINAL_CONTRACTUAL_DUE_D,NEW_DUE_D,COUNT_PAY_DAY,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,HARDSHIP_FLAG,HARDSHIP_TYPE,HARDSHIP_REASON,HARDSHIP_STATUS,DEFERRAL_TERM,HARDSHIP_AMOUNT,HARDSHIP_START_DATE,HARDSHIP_END_DATE,PAYMENT_PLAN_START_DATE,HARDSHIP_LENGTH,HARDSHIP_DPD,HARDSHIP_LOAN_STATUS,ORIG_PROJECTED_ADDITIONAL_ACCRUED_INTEREST,HARDSHIP_PAYOFF_BALANCE_AMOUNT,HARDSHIP_LAST_PAYMENT_AMOUNT,DISBURSEMENT_METHOD,DEBT_SETTLEMENT_FLAG,DEBT_SETTLEMENT_FLAG_DATE,SETTLEMENT_STATUS,SETTLEMENT_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_PERCENTAGE,SETTLEMENT_TERM
62127260,133566975,167112082,143275084,AutoInvest1,25,18.99%,D3,Personal,36,2.679265575,DOWN,1,0.045256407,30.32185833,10/12/2019,Current,12/1/2016,11/28/2016,12/29/2016,0.873875622,0.042399378,0,1099.53,package car driver,10+ years,MORTGAGE,95000,Verified,11/19/2016,12/22/2016,11/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=62127260,,debt_consolidation,Debt consolidation,175xx,PA,0,6,2388,75,88.3,23.98,1,0,4/18/2000,665,669,2,14,,3,,20,3,11,0,56587,18012,88.30%,20400,18,f,3215.12,3209.76,36386.23,36325.59,26784.88,9601.35,0,0,0,9/12/2019,1099.53,11/12/2019,10/13/2019,584,580,71700,5,,0,0,0,0,0,,11,4,3,273113,224908,20446,4,4,4,88.9,0,0,0,10,115,4,199,9,20400,4,4,0,11/29/2016,,Individual,,,,2,6,3,4,3,38575,54,1,2,8054,61,1,3,3,25,0,22.32073443,8.001123908,0,25,29,12,3,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
70904954,133566975,167112082,143275086,AutoInvest1,25,7.99%,A5,Personal,36,1.55068955,DOWN,1,0.004818337,26.63789286,11/1/2019,Current,12/1/2016,11/28/2016,1/1/2017,0,0,0,438.65,Plan Check Engineer,1 year,RENT,65000,Source Verified,11/27/2016,12/28/2016,11/28/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=70904954,,debt_consolidation,Debt consolidation,956xx,CA,0,10,49264,0,14.3,24.39,0,0,9/26/2011,745,749,1,,,2,,6,0,27,0,104665,13436,15.80%,57500,40,f,868.39,868.39,14917.22,14917.22,13131.61,1785.61,0,0,0,10/1/2019,438.65,11/1/2019,10/13/2019,724,720,101427,33,,0,0,0,0,0,,27,3,6,186527,104665,3876,19,4,15,100,0,0,0,7,54,6,62,6,85100,6,23,0,11/29/2016,,Individual,,,,2,4,0,4,13,91229,77,3,6,5113,41,4,0,2,25,0,23.44931045,3.188582406,0,25,29,1,1,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
87255474,127709459,167112084,138178962,FullyPaid1,25,7.59%,A3,Personal,36,0,DOWN,1,0,27.84444539,2/23/2019,Fully Paid,9/27/2016,9/22/2016,1/31/2019,0,0,0,252.3,Legal Assistant,7 years,MORTGAGE,50000,Not Verified,9/8/2016,10/22/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=87255474,,other,Other,308xx,GA,0,7,9961,14.3,44.4,24.54,0,0,1/6/2005,695,699,0,34,,4,36,8,1,17,0,110431,8001,32.50%,17900,40,f,0,0,9021.600301,9021.6,8100,921.6,0,0,0,1/28/2019,2216.33,,10/12/2019,679,675,99659,13,,0,0,0,0,0,,17,3,4,239674,216106,14407,10,5,7,89.7,0,0,0,24,140,6,134,8,24600,6,10,0,9/23/2016,,Individual,,,,1,3,2,3,4,102281,92,1,3,3572,57,2,0,2,25,0,25,2.84444539,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88535138,127749223,167112084,138149319,FullyPaid1,25,16.99%,D1,Personal,36,0,UP,1,0,32.03570693,10/23/2019,Fully Paid,9/27/2016,9/22/2016,9/26/2019,0,0,0,883.18,Executive Assistant,3 years,RENT,63273.6,Verified,9/19/2016,10/22/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88535138,,credit_card,Credit card refinancing,917xx,CA,0,7,3309,50,72.9,19.01,0,0,2/13/2004,685,689,0,47,,16,47,9,0,12,0,28983,9151,46%,12200,18,f,0,0,31747.38558,31747.39,24775,6972.39,0,0,0,9/23/2019,882.86,,9/16/2019,759,755,33864,15,57,0,0,0,0,0,,12,4,9,53764,28983,2635,7,4,4,88.9,0,0,0,2,40,5,118,9,19900,5,9,0,9/23/2016,,Individual,,,,0,2,1,1,12,19832,59,3,6,6340,54,0,0,0,25,0,25,7.035706933,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88593479,127709459,167112082,138178963,AutoInvest1,25,16.99%,D1,Personal,36,0.024581399,DOWN,1,2.55E-04,32.08056667,10/23/2019,Current,9/27/2016,9/22/2016,7/3/2019,0,0,0,534.72,Accountant,9 years,MORTGAGE,35000,Verified,8/23/2016,10/7/2016,9/21/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88593479,,debt_consolidation,Debt consolidation,734xx,OK,0,1,613,0,73.3,26.17,1,0,4/22/2002,680,684,0,9,,7,9,53,2,5,0,25540,15491,78.20%,2300,11,f,14.75,14.75,19248.34,19248.34,14985.25,4236.35,26.74,0,0,9/23/2019,534.72,10/23/2019,10/13/2019,614,610,16851,4,76,0,1,0,0,0,76,5,0,16,88651,52774,10555,2,1,1,81.8,0,0,0,5,144,3,145,53,19800,3,3,0,9/23/2016,,Individual,,,,0,1,0,1,16,10049,60,0,0,1687,70,2,0,1,25,0,24.9754186,7.060581399,0.044566667,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88654675,127709459,167112084,138178964,FullyPaid1,25,6.99%,A2,Personal,36,0,UP,1,0,27.76577647,10/23/2019,Fully Paid,9/27/2016,9/22/2016,9/26/2019,0,0,0,185.24,Research Associate,4 years,RENT,50000,Source Verified,8/24/2016,10/8/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88654675,,credit_card,Credit card refinancing,441xx,OH,0,8,12964,0,49.2,5.71,0,0,7/23/2005,710,714,0,,,8,,8,0,11,0,49899,12613,42%,25500,27,f,0,0,6663.786351,6663.79,6000,663.79,0,0,0,9/23/2019,185.05,,9/16/2019,809,805,37535,13,,0,0,0,0,0,,11,4,2,67535,49899,4536,6,2,5,100,0,0,0,14,133,3,116,8,30000,3,7,0,9/23/2016,,Individual,,,,1,4,2,2,2,37286,99,2,6,7811,74,0,1,2,25,0,25,2.76577647,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88763529,127709459,167112084,138178965,FullyPaid1,25,24.99%,E4,Personal,36,0,DOWN,1,0,35.06800448,3/23/2019,Fully Paid,9/27/2016,9/22/2016,3/12/2019,0,0,0,399.54,Interpreter,7 years,RENT,30000,Verified,9/13/2016,10/22/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88763529,,debt_consolidation,Debt consolidation,928xx,CA,0,8,85,100,87.9,19.92,0,0,11/12/2006,660,664,2,,,2,,17,0,6,0,9985,4103,48.80%,700,10,f,0,0,14097.3378,14097.34,10050,4047.34,0,0,0,2/25/2019,2830.13,,9/19/2019,644,640,6714,4,,0,0,0,0,0,,6,2,2,15114,9985,1664,1,1,1,100,0,0,0,6,118,2,18,2,8400,2,4,93,9/23/2016,,Individual,,,,2,2,1,4,5,5882,88,1,4,615,66,0,0,2,25,0,25,10.06800448,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88766023,127749223,167112083,138149323,Chargedoff1,25,18.99%,D3,Personal,36,21.7498198,DOWN,1,0,5.44495,9/23/2017,Charged Off,9/27/2016,9/22/2016,8/31/2017,0,0,0,549.77,MA,10+ years,RENT,48000,Verified,9/5/2016,10/20/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88766023,,debt_consolidation,Debt consolidation,895xx,NV,0,6,8648,25,49.1,12.53,0,0,6/1/2004,685,689,1,31,,1,,4,1,6,0,24646,8352,48.30%,17000,19,f,0,0,3266.97,3266.97,1950.11,1316.86,0,0,0,3/28/2017,549.77,,11/16/2017,559,555,16907,14,,0,1,0,0,0,31,6,4,4,34207,24646,4108,11,2,4,94.7,0,0,0,4,135,2,147,4,17300,2,5,0,9/23/2016,,Individual,,,,2,1,1,1,4,16294,96,3,5,5782,72,1,0,3,25,0,3.250180195,2.194769805,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88776200,127749223,167112084,138149325,FullyPaid1,25,14.49%,C4,Personal,36,0,DOWN,1,0,28.58820439,12/23/2017,Fully Paid,9/27/2016,9/22/2016,12/5/2017,0,0,0,585.08,AUTO TECHNICIAN,< 1 year,RENT,75000,Verified,9/15/2016,10/20/2016,9/20/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88776200,,debt_consolidation,Debt consolidation,481xx,MI,0,7,15373,10,27.5,34.3,0,0,9/14/2005,710,714,1,31,102,1,,16,0,18,1,43319,17861,46.20%,21200,27,f,0,0,19439.97898,19439.98,17000,2439.98,0,0,0,11/29/2017,11861.31,,10/13/2019,669,665,61117,14,,1,0,0,0,0,,18,0,16,99817,43319,2548,11,9,10,92.6,0,0,0,12,132,12,118,16,38700,12,13,0,9/23/2016,,Individual,,,,0,4,0,3,18,25458,42,0,4,4002,43,1,7,2,25,0,25,3.588204386,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88776308,127749223,167112084,138149327,FullyPaid1,25,17.99%,D2,Personal,36,0,DOWN,1,0,27.41339354,5/23/2017,Fully Paid,9/27/2016,9/22/2016,4/28/2017,0,0,0,674.15,Material handler,10+ years,RENT,53000,Source Verified,9/19/2016,10/22/2016,9/22/2016,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88776308,,other,Other,613xx,IL,0,6,14077,0,21.4,30.98,0,0,11/18/2003,710,714,2,,,4,,27,1,9,0,44616,7269,30%,17900,31,f,0,0,20450.39157,20450.39,18650,1800.39,0,0,0,4/27/2017,16442.77,,10/12/2019,684,680,51392,9,,0,0,0,0,0,,9,3,4,75592,44616,4957,3,3,3,100,0,0,0,21,154,7,118,4,24200,7,7,0,9/23/2016,,Individual,,,,2,2,2,5,5,37347,73,1,1,1898,59,2,0,5,25,0,25,2.413393542,0,25,23,,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
